City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
473,msowero,-6.5333,37.2,75.67,76,66,2.73,broken clouds,TZ,2021-12-11 05:00:41
474,buala,-8.145,159.5921,79.88,89,100,7.43,light rain,SB,2021-12-11 05:00:42
475,iralaya,15.0,-83.2333,77.85,84,29,11.05,scattered clouds,HN,2021-12-11 05:00:42
476,ruteng,-8.6136,120.4721,74.07,76,69,2.48,broken clouds,ID,2021-12-11 05:00:42
477,roma,43.2128,-75.4557,40.87,82,1,9.22,clear sky,US,2021-12-11 05:00:43
478,bardsir,29.9227,56.5743,48.45,22,87,0.85,overcast clouds,IR,2021-12-11 05:00:43
479,san miguel chicaj,15.1,-90.4,63.57,96,15,2.13,few clouds,GT,2021-12-11 05:00:43
480,grindavik,63.8424,-22.4338,39.67,87,90,39.12,moderate rain,IS,2021-12-11 05:00:44
481,shestakovo,56.4915,103.96,2.3,85,99,7.9,overcast clouds,RU,2021-12-11 05:00:44
482,zheleznodorozhnyy,55.7503,38.0042,3.72,90,63,7.4,broken clouds,RU,2021-12-11 05:00:45
483,hofn,64.2539,-15.2082,39.42,95,100,14.97,overcast clouds,IS,2021-12-11 05:00:45
484,kyshtovka,56.555,76.6271,16.03,85,100,9.95,overcast clouds,RU,2021-12-11 05:00:45
485,jensen beach,27.2545,-80.2298,76.05,84,1,1.01,clear sky,US,2021-12-11 05:00:46
486,laguna,38.421,-121.4238,47.01,81,1,0.0,clear sky,US,2021-12-11 05:00:46
487,cabo san lucas,22.8909,-109.9124,72.52,74,77,7.67,broken clouds,MX,2021-12-11 05:00:47
488,carnarvon,-24.8667,113.6333,78.44,52,0,19.08,clear sky,AU,2021-12-11 05:00:47
489,asmar,35.0333,71.3581,57.43,13,38,7.0,scattered clouds,AF,2021-12-11 05:00:47
490,yenagoa,4.9247,6.2642,76.95,93,79,3.8,broken clouds,NG,2021-12-11 05:00:48
491,loandjili,-4.7561,11.8578,77.18,94,90,5.46,light rain,CG,2021-12-11 05:00:48
492,miracema do tocantins,-9.5618,-48.3967,72.66,98,96,3.36,overcast clouds,BR,2021-12-11 05:00:48
493,vila,42.0304,-8.1588,42.33,93,100,2.71,overcast clouds,PT,2021-12-11 05:00:49
494,velsk,61.0701,42.0983,-2.79,100,99,3.24,overcast clouds,RU,2021-12-11 05:00:49
495,srednekolymsk,67.45,153.6833,-49.49,100,62,1.66,broken clouds,RU,2021-12-11 05:00:50
496,pitimbu,-7.4706,-34.8086,79.29,77,13,12.28,few clouds,BR,2021-12-11 05:00:50
497,xuddur,4.1213,43.8894,73.02,59,22,23.49,few clouds,SO,2021-12-11 05:00:50
498,visnes,59.3556,5.2242,33.57,69,1,9.22,clear sky,NO,2021-12-11 05:00:51
499,shebalino,51.2917,85.6772,21.52,76,3,4.85,clear sky,RU,2021-12-11 05:00:51
500,skegness,53.1436,0.3363,37.22,90,5,9.64,clear sky,GB,2021-12-11 05:01:51
501,rocha,-34.4833,-54.3333,55.6,95,53,4.97,broken clouds,UY,2021-12-11 05:01:09
502,puerto carreno,6.189,-67.4859,77.83,70,75,7.47,broken clouds,CO,2021-12-11 05:01:52
503,roros,62.5747,11.3842,24.64,93,90,3.44,overcast clouds,NO,2021-12-11 05:01:52
504,cascais,38.6979,-9.4215,58.46,76,2,1.01,clear sky,PT,2021-12-11 05:01:53
