City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Uvinza,TZ,2021-12-08 20:16:48,-5.1036,30.3911,65.48,96,91,2.89
237,Kungurtug,RU,2021-12-08 20:16:48,50.5994,97.5228,10.44,92,100,1.92
238,Haines Junction,CA,2021-12-08 20:16:48,60.7522,-137.5108,-0.45,85,100,2.3
239,Damietta,EG,2021-12-08 20:16:49,31.4165,31.8133,64.02,58,76,18.01
240,Samana,DO,2021-12-08 20:15:17,19.2056,-69.3369,86.22,74,20,9.22
241,Coruripe,BR,2021-12-08 20:16:49,-10.1256,-36.1756,82.06,72,2,17.76
242,Port Hardy,CA,2021-12-08 20:15:11,50.6996,-127.4199,42.8,81,75,11.5
243,College,US,2021-12-08 20:16:50,64.8569,-147.8028,10.72,88,75,3.44
244,Bridlington,GB,2021-12-08 20:16:50,54.0831,-0.1919,41.9,89,100,19.01
245,Isangel,VU,2021-12-08 20:16:51,-19.55,169.2667,80.71,83,40,0.0
246,Eureka,US,2021-12-08 20:16:51,40.8021,-124.1637,55.74,79,100,7.0
247,Karratha,AU,2021-12-08 20:16:52,-20.7377,116.8463,88.0,41,24,9.28
248,Gold Coast,AU,2021-12-08 20:16:52,-28.0,153.4333,72.19,88,2,3.44
249,Homer,US,2021-12-08 20:16:52,59.6425,-151.5483,28.27,93,90,4.61
250,Souillac,MU,2021-12-08 20:16:53,-20.5167,57.5167,77.36,78,20,3.44
251,Rawah,IQ,2021-12-08 20:16:53,34.4816,41.9093,57.67,27,66,8.43
252,Port Shepstone,ZA,2021-12-08 20:16:54,-30.7414,30.455,72.55,91,99,14.16
253,Ketchikan,US,2021-12-08 20:16:54,55.3422,-131.6461,34.27,93,40,3.44
254,Yaan,NG,2021-12-08 20:16:54,7.3833,8.5667,83.08,18,97,4.83
255,Nantucket,US,2021-12-08 20:16:55,41.2835,-70.0995,38.97,88,100,14.72
256,Phan Thiet,VN,2021-12-08 20:15:54,10.9333,108.1,73.24,84,100,4.36
257,Umm Lajj,SA,2021-12-08 20:16:55,25.0213,37.2685,69.71,44,56,18.01
258,Wanning,CN,2021-12-08 20:16:56,18.8003,110.3967,71.51,85,75,13.91
259,El Monte,US,2021-12-08 20:16:56,34.0686,-118.0276,72.18,64,1,0.0
260,Grand Gaube,MU,2021-12-08 20:16:56,-20.0064,57.6608,77.38,69,25,3.0
261,Pathein,MM,2021-12-08 20:16:57,16.7833,94.7333,70.12,79,35,3.8
262,Padang,ID,2021-12-08 20:16:57,-0.9492,100.3543,77.59,87,78,3.91
263,Port Augusta,AU,2021-12-08 20:16:57,-32.5,137.7667,55.54,63,0,8.01
264,Mount Isa,AU,2021-12-08 20:16:50,-20.7333,139.5,76.77,23,32,8.05
265,Batagay-Alyta,RU,2021-12-08 20:16:58,67.8006,130.4114,-28.95,91,100,1.52
266,Dzhebariki-Khaya,RU,2021-12-08 20:12:14,62.2167,135.8,-18.62,92,100,1.92
