City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
449,saint-pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
459,axim,GH,78.75,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
460,patiya,BD,69.75,haze,22.2931,91.9762,Mickey's home
465,mae sot,TH,67.95,clear sky,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
466,yalta,UA,56.62,scattered clouds,44.5,34.1667,Yalta Inturist
472,shenzhen,CN,72.86,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
475,maxixe,MZ,75.04,few clouds,-23.8597,35.3472,Oceano
480,katakwi,UG,67.08,scattered clouds,1.8911,33.9661,Ebenezer Guest House
485,maragogi,BR,78.64,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
486,rawson,AR,66.36,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
493,canaries,ES,57.16,few clouds,28.0,-15.5,Villa del Monte
495,rosario,AR,72.95,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
497,pangkalanbuun,ID,78.28,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
501,duverge,DO,75.25,few clouds,18.3784,-71.5247,Hotel La Casona
507,ilo,PE,66.43,clear sky,-17.6394,-71.3375,Torreblanca Hotel
508,inirida,CO,75.94,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
509,antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
510,waycross,US,69.33,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
512,pretoria,ZA,68.31,moderate rain,-25.7449,28.1878,Morning Star Express Hotel
513,fougamou,GA,74.21,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
516,ponta delgada,PT,63.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
520,mount gambier,AU,66.11,clear sky,-37.8333,140.7667,The Commodore
521,santander jimenez,MX,73.85,overcast clouds,24.2167,-98.4667,Papas inc
523,zambezi,ZM,68.68,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
524,tomatlan,MX,71.35,overcast clouds,19.9333,-105.25,El Salvial
526,ofaqim,IL,60.71,broken clouds,31.3141,34.6203,The Negev Experience
527,nkowakowa,ZA,62.65,scattered clouds,-23.8878,30.2871,Moytel 966A Guest House & Spa
528,eyl,SO,72.59,scattered clouds,7.9803,49.8164,Amiin Hotel
532,ajdabiya,LY,56.91,clear sky,30.7554,20.2263,Almadina Hotel
533,port macquarie,AU,77.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
534,praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
536,attingal,IN,76.68,clear sky,8.6833,76.8333,Government Guest House
538,kabare,CD,60.82,light rain,-2.4683,28.8242,Hôtel Panorama
541,mahuva,IN,70.32,clear sky,21.0914,71.7622,Hotel Blue Diamond.
542,banikoara,BJ,70.59,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
543,mayumba,GA,77.4,overcast clouds,-3.432,10.6554,LIKWALE LODGE
544,esna,EG,59.02,overcast clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
549,butler,US,58.6,mist,39.4501,-84.5666,The Lodge Activity Center
556,jieshi,CN,66.94,clear sky,22.8134,115.8257,Yuehai Hotel
557,arlit,NE,65.01,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
560,katsuyama,JP,56.3,broken clouds,36.0617,136.501,Pension UPO
561,san quintin,MX,58.32,broken clouds,30.4833,-115.95,Don Eddie's Landing
562,ormara,PK,69.91,few clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
563,puerto madryn,AR,67.19,overcast clouds,-42.7692,-65.0385,Hotel Tolosa
568,tukrah,LY,56.84,clear sky,32.5341,20.5791,Lagrota restaurant
570,xam nua,LA,61.72,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
573,xai-xai,MZ,73.4,broken clouds,-25.0519,33.6442,Complexo da Familia
579,malanje,AO,63.25,light rain,-9.5402,16.341,Hotel Ginga
582,aguilas,ES,58.21,few clouds,37.4063,-1.5829,Hotel Carlos III
584,pedasi,PA,76.06,broken clouds,7.5333,-80.0333,Selina Pedasi
585,bull savanna,JM,73.15,clear sky,17.8868,-77.5902,Big Red's
588,oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
597,bama,NG,64.9,broken clouds,11.5221,13.6856,UN Humanitarian Hub
598,puerto baquerizo moreno,EC,68.45,broken clouds,-0.9,-89.6,Hotel los Algarrobos
606,luanda,AO,77.86,overcast clouds,-8.8368,13.2343,Hotel Fórum
608,surt,LY,55.09,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
611,coxim,BR,78.24,overcast clouds,-18.5067,-54.76,Hotel Avenida
