City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
341,constitucion,CL,57.31,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
342,siwana,IN,68.97,clear sky,25.6333,72.4167,Surbhi nivas
343,savalou,BJ,73.76,scattered clouds,7.9281,1.9756,Hotel F&F
344,wichita falls,US,62.17,scattered clouds,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
346,abu dhabi,AE,69.96,scattered clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
350,san carlos de bariloche,AR,62.35,clear sky,-41.1456,-71.3082,Hotel Patagonia
351,formosa do rio preto,BR,69.73,broken clouds,-11.0483,-45.1931,Porto Center Hotel
357,gat,IL,60.91,scattered clouds,31.61,34.7642,OlusHome
362,simao,CN,71.78,clear sky,22.7886,100.9748,Changyu Hotel
363,acapulco,MX,77.59,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
374,darnah,LY,56.1,clear sky,32.767,22.6367,فندق الفردوس
375,coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Punto de encuentro
376,kaputa,ZM,72.32,broken clouds,-8.4689,29.6619,Chelelwa Charlets
382,rongcheng,CN,60.94,few clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
383,harper,LR,78.89,clear sky,4.375,-7.7169,Screensaver
389,villarrica,PY,70.88,scattered clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
390,sao gabriel da cachoeira,BR,73.31,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
392,tumaco,CO,74.95,light rain,1.7986,-78.8156,Dafneruben
395,paramonga,PE,66.67,overcast clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
